key	en_us	non_is	note
recipe.toast.description	Check your recipe book	Check your recipe book	review needed
recipe.toast.title	New Recipes Unlocked!	New Recipes Unlocked!	review needed
record.nowPlaying	Now Playing: %s	Now Playing: %s	review needed
recover_world.bug_tracker	recover_world.bug_tracker	recover_world.bug_tracker	review needed
recover_world.button	recover_world.button	recover_world.button	review needed
recover_world.done.failed	recover_world.done.failed	recover_world.done.failed	review needed
recover_world.done.success	recover_world.done.success	recover_world.done.success	review needed
recover_world.done.title	recover_world.done.title	recover_world.done.title	review needed
recover_world.issue.missing_file	recover_world.issue.missing_file	recover_world.issue.missing_file	review needed
recover_world.issue.none	recover_world.issue.none	recover_world.issue.none	review needed
recover_world.message	recover_world.message	recover_world.message	review needed
recover_world.no_fallback	recover_world.no_fallback	recover_world.no_fallback	review needed
recover_world.restore	recover_world.restore	recover_world.restore	review needed
recover_world.restoring	recover_world.restoring	recover_world.restoring	review needed
recover_world.state_entry	recover_world.state_entry	recover_world.state_entry	review needed
recover_world.state_entry.unknown	recover_world.state_entry.unknown	recover_world.state_entry.unknown	review needed
recover_world.title	recover_world.title	recover_world.title	review needed
recover_world.warning	recover_world.warning	recover_world.warning	review needed
resourcePack.broken_assets	BROKEN ASSETS DETECTED	BROKEN ASSETS DETECTED	review needed
resourcePack.high_contrast.name	High Contrast	High Contrast	review needed
resourcePack.load_fail	Resource reload failed	Resource reload failed	review needed
resourcePack.programmer_art.name	Programmer Art	Programmer Art	review needed
resourcePack.runtime_failure	resourcePack.runtime_failure	resourcePack.runtime_failure	review needed
resourcePack.server.name	World Specific Resources	World Specific Resources	review needed
resourcePack.title	Select Resource Packs	Select Resource Packs	review needed
resourcePack.vanilla.description	The default look and feel of Minecraft	The default look and feel of Minecraft	review needed
resourcePack.vanilla.name	Default	Default	review needed
resourcepack.downloading	Downloading Resource Pack	Downloading Resource Pack	review needed
resourcepack.progress	Downloading file (%s MB)...	Downloading file (%s MB)...	review needed
resourcepack.requesting	Making Request...	Making Request...	review needed
restrictions_screen.button	restrictions_screen.button	restrictions_screen.button	review needed
restrictions_screen.permission.receive_player_messages.allowed	restrictions_screen.permission.receive_player_messages.allowed	restrictions_screen.permission.receive_player_messages.allowed	review needed
restrictions_screen.permission.receive_player_messages.denied	restrictions_screen.permission.receive_player_messages.denied	restrictions_screen.permission.receive_player_messages.denied	review needed
restrictions_screen.permission.receive_system_messages.allowed	restrictions_screen.permission.receive_system_messages.allowed	restrictions_screen.permission.receive_system_messages.allowed	review needed
restrictions_screen.permission.receive_system_messages.denied	restrictions_screen.permission.receive_system_messages.denied	restrictions_screen.permission.receive_system_messages.denied	review needed
restrictions_screen.permission.send_commands.allowed	restrictions_screen.permission.send_commands.allowed	restrictions_screen.permission.send_commands.allowed	review needed
restrictions_screen.permission.send_commands.denied	restrictions_screen.permission.send_commands.denied	restrictions_screen.permission.send_commands.denied	review needed
restrictions_screen.permission.send_messages.allowed	restrictions_screen.permission.send_messages.allowed	restrictions_screen.permission.send_messages.allowed	review needed
restrictions_screen.permission.send_messages.denied	restrictions_screen.permission.send_messages.denied	restrictions_screen.permission.send_messages.denied	review needed
restrictions_screen.title	restrictions_screen.title	restrictions_screen.title	review needed
screenshot.failure	Couldn't save screenshot: %s	Couldn't save screenshot: %s	review needed
screenshot.success	Saved screenshot as %s	Saved screenshot as %s	review needed
selectServer.add	Add Server	Add Server	review needed
selectServer.defaultName	Minecraft Server	Minecraft Server	review needed
selectServer.delete	Delete	Delete	review needed
selectServer.deleteButton	Delete	Delete	review needed
selectServer.deleteQuestion	Are you sure you want to remove this server?	Are you sure you want to remove this server?	review needed
selectServer.deleteWarning	'%s' will be lost forever! (A long time!)	'%s' will be lost forever! (A long time!)	review needed
selectServer.direct	Direct Connection	Direct Connection	review needed
selectServer.edit	Edit	Edit	review needed
selectServer.hiddenAddress	(Hidden)	(Hidden)	review needed
selectServer.refresh	Refresh	Refresh	review needed
selectServer.select	Join Server	Join Server	review needed
selectServer.title	Select Server	Select Server	review needed
selectWorld.access_failure	Failed to access world	Failed to access world	review needed
selectWorld.allowCommands	Allow Cheats	Allow Cheats	review needed
selectWorld.allowCommands.info	Commands like /gamemode, /experience	Commands like /gamemode, /experience	review needed
selectWorld.allowCommands.new	selectWorld.allowCommands.new	selectWorld.allowCommands.new	review needed
selectWorld.backupEraseCache	Erase Cached Data	Erase Cached Data	review needed
selectWorld.backupJoinConfirmButton	Create Backup and Load	Create Backup and Load	review needed
selectWorld.backupJoinSkipButton	I know what I'm doing!	I know what I'm doing!	review needed
selectWorld.backupQuestion.customized	Customized worlds are no longer supported	Customized worlds are no longer supported	review needed
selectWorld.backupQuestion.downgrade	Downgrading a world is not supported	Downgrading a world is not supported	review needed
selectWorld.backupQuestion.experimental	Worlds using Experimental Settings are not supported	Worlds using Experimental Settings are not supported	review needed
selectWorld.backupQuestion.file_fixing_required	selectWorld.backupQuestion.file_fixing_required	selectWorld.backupQuestion.file_fixing_required	review needed
selectWorld.backupQuestion.snapshot	Do you really want to load this world?	Do you really want to load this world?	review needed
selectWorld.backupWarning.customized	Unfortunately, we do not support customized worlds in this version of Minecraft. We can still load this world and keep everything the way it was, but any newly generated terrain will no longer be customized. We're sorry for the inconvenience!	Unfortunately, we do not support customized worlds in this version of Minecraft. We can still load this world and keep everything the way it was, but any newly generated terrain will no longer be customized. We're sorry for the inconvenience!	review needed
selectWorld.backupWarning.downgrade	This world was last played in version %s; you are on version %s. Downgrading a world could cause corruption - we cannot guarantee that it will load or work. If you still want to continue, please make a backup!	This world was last played in version %s; you are on version %s. Downgrading a world could cause corruption - we cannot guarantee that it will load or work. If you still want to continue, please make a backup!	review needed
selectWorld.backupWarning.experimental	This world uses experimental settings that could stop working at any time. We cannot guarantee it will load or work. Here be dragons!	This world uses experimental settings that could stop working at any time. We cannot guarantee it will load or work. Here be dragons!	review needed
selectWorld.backupWarning.file_fixing_required	selectWorld.backupWarning.file_fixing_required	selectWorld.backupWarning.file_fixing_required	review needed
selectWorld.backupWarning.snapshot	This world was last played in version %s; you are on version %s. Please make a backup in case you experience world corruptions!	This world was last played in version %s; you are on version %s. Please make a backup in case you experience world corruptions!	review needed
selectWorld.bonusItems	Bonus Chest	Bonus Chest	review needed
selectWorld.cheats	Cheats	Cheats	review needed
selectWorld.commands	selectWorld.commands	selectWorld.commands	review needed
selectWorld.conversion	Must be converted!	Must be converted!	review needed
selectWorld.conversion.tooltip	This world must be opened in an older version (like 1.6.4) to be safely converted	This world must be opened in an older version (like 1.6.4) to be safely converted	review needed
selectWorld.createDemo	Play New Demo World	Play New Demo World	review needed
selectWorld.customizeType	Customize	Customize	review needed
selectWorld.dataPacks	Data Packs	Data Packs	review needed
selectWorld.data_read	Reading world data...	Reading world data...	review needed
selectWorld.deleteButton	Delete	Delete	review needed
selectWorld.deleteQuestion	Are you sure you want to delete this world?	Are you sure you want to delete this world?	review needed
selectWorld.deleteWarning	'%s' will be lost forever! (A long time!)	'%s' will be lost forever! (A long time!)	review needed
