key	en_us	ang	note
minecraft.packet.painting.minecraft.pool.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.pool.title	The Pool	The Pool	review needed
minecraft.packet.painting.minecraft.sea.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.sea.title	Seaside	Seaside	review needed
minecraft.packet.painting.minecraft.skeleton.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.skeleton.title	Mortal Coil	Mortal Coil	review needed
minecraft.packet.painting.minecraft.skull_and_roses.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.skull_and_roses.title	Skull and Roses	Skull and Roses	review needed
minecraft.packet.painting.minecraft.stage.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.stage.title	The Stage Is Set	The Stage Is Set	review needed
minecraft.packet.painting.minecraft.sunset.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.sunset.title	sunset_dense	sunset_dense	review needed
minecraft.packet.painting.minecraft.void.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.void.title	The void	The void	review needed
minecraft.packet.painting.minecraft.wanderer.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.wanderer.title	Wanderer	Wanderer	review needed
minecraft.packet.painting.minecraft.wasteland.author	Kristoffer Zetterstrand	Kristoffer Zetterstrand	review needed
minecraft.packet.painting.minecraft.wasteland.title	Wasteland	Wasteland	review needed
minecraft.packet.painting.minecraft.water.author	Mojang	Mojang	review needed
minecraft.packet.painting.minecraft.water.title	Water	Water	review needed
minecraft.packet.painting.minecraft.wind.author	Mojang	Mojang	review needed
minecraft.packet.painting.minecraft.wind.title	Wind	Wind	review needed
minecraft.packet.painting.minecraft.wither.author	Mojang	Mojang	review needed
minecraft.packet.painting.minecraft.wither.title	Wither	Wither	review needed
minecraft.packet.painting.random	Random variant	Random variant	review needed
minecraft.packet.parsing.bool.expected	Expected boolean	Expected boolean	review needed
minecraft.packet.parsing.bool.invalid	Invalid boolean, expected 'true' or 'false' but found '%s'	Invalid boolean, expected 'true' or 'false' but found '%s'	review needed
minecraft.packet.parsing.double.expected	Expected double	Expected double	review needed
minecraft.packet.parsing.double.invalid	Invalid double '%s'	Invalid double '%s'	review needed
minecraft.packet.parsing.expected	Expected '%s'	Expected '%s'	review needed
minecraft.packet.parsing.float.expected	Expected float	Expected float	review needed
minecraft.packet.parsing.float.invalid	Invalid float '%s'	Invalid float '%s'	review needed
minecraft.packet.parsing.int.expected	Expected integer	Expected integer	review needed
minecraft.packet.parsing.int.invalid	Invalid integer '%s'	Invalid integer '%s'	review needed
minecraft.packet.parsing.long.expected	Expected long	Expected long	review needed
minecraft.packet.parsing.long.invalid	Invalid long '%s'	Invalid long '%s'	review needed
minecraft.packet.parsing.quote.escape	Invalid escape sequence '\%s' in quoted string	Invalid escape sequence '\%s' in quoted string	review needed
minecraft.packet.parsing.quote.expected.end	Unclosed quoted string	Unclosed quoted string	review needed
minecraft.packet.parsing.quote.expected.start	Expected quote to start a string	Expected quote to start a string	review needed
minecraft.packet.particle.notFound	Unknown particle: %s	Unknown particle: %s	review needed
minecraft.packet.potion.potency.0			review needed
minecraft.packet.potion.potency.1	II	II	review needed
minecraft.packet.potion.potency.2	III	III	review needed
minecraft.packet.potion.potency.3	IV	IV	review needed
minecraft.packet.potion.potency.4	V	V	review needed
minecraft.packet.potion.potency.5	VI	VI	review needed
minecraft.packet.potion.whenDrank	When Applied:	When Applied:	review needed
minecraft.packet.potion.withAmplifier	%s %s	%s %s	review needed
minecraft.packet.potion.withDuration	%s (%s)	%s (%s)	review needed
minecraft.packet.predicate.unknown	Unknown predicate: %s	Unknown predicate: %s	review needed
minecraft.packet.recipe.notFound	Unknown recipe: %s	Unknown recipe: %s	review needed
minecraft.packet.recipe.toast.description	Check your recipe book	Check your recipe book	review needed
minecraft.packet.recipe.toast.title	New Recipes Unlocked!	New Recipes Unlocked!	review needed
minecraft.packet.record.nowPlaying	Now Playing: %s	Now Playing: %s	review needed
minecraft.packet.resourcePack.broken_assets	BROKEN ASSETS DETECTED	BROKEN ASSETS DETECTED	review needed
minecraft.packet.resourcePack.high_contrast.name	High Contrast	High Contrast	review needed
minecraft.packet.resourcePack.load_fail	Resource reload failed	Resource reload failed	review needed
minecraft.packet.resourcePack.programmer_art.name	Programmer Art	Programmer Art	review needed
minecraft.packet.resourcePack.server.name	World Specific Resources	World Specific Resources	review needed
minecraft.packet.resourcePack.title	Select Resource Packs	Select Resource Packs	review needed
minecraft.packet.resourcePack.vanilla.description	The default look and feel of Minecraft	The default look and feel of Minecraft	review needed
minecraft.packet.resourcePack.vanilla.name	Default	Default	review needed
minecraft.packet.resourcepack.downloading	Downloading Resource Pack	Downloading Resource Pack	review needed
minecraft.packet.resourcepack.progress	Downloading file (%s MB)...	Downloading file (%s MB)...	review needed
minecraft.packet.resourcepack.requesting	Making Request...	Making Request...	review needed
minecraft.packet.sign.edit	Edit Sign Message	Edit Sign Message	review needed
minecraft.packet.slot.unknown	Unknown slot '%s'	Unknown slot '%s'	review needed
minecraft.packet.soundCategory.ambient	Ambient/Environment	Ambient/Environment	review needed
minecraft.packet.soundCategory.block	Blocks	Blocks	review needed
minecraft.packet.soundCategory.hostile	Hostile Creatures	Hostile Creatures	review needed
minecraft.packet.soundCategory.master	Master Volume	Master Volume	review needed
minecraft.packet.soundCategory.music	Music	Music	review needed
minecraft.packet.soundCategory.neutral	Friendly Creatures	Friendly Creatures	review needed
minecraft.packet.soundCategory.player	Players	Players	review needed
minecraft.packet.soundCategory.record	Jukebox/Note Blocks	Jukebox/Note Blocks	review needed
minecraft.packet.soundCategory.voice	Voice/Speech	Voice/Speech	review needed
minecraft.packet.soundCategory.weather	Weather	Weather	review needed
minecraft.packet.stat.generalButton	General	General	review needed
minecraft.packet.stat.itemsButton	Items	Items	review needed
minecraft.packet.stat.minecraft.animals_bred	Animals Bred	Animals Bred	review needed
minecraft.packet.stat.minecraft.aviate_one_cm	Distance by Elytra	Distance by Elytra	review needed
minecraft.packet.stat.minecraft.bell_ring	Bells Rung	Bells Rung	review needed
minecraft.packet.stat.minecraft.boat_one_cm	Distance by Boat	Distance by Boat	review needed
minecraft.packet.stat.minecraft.clean_armor	Armor Pieces Cleaned	Armor Pieces Cleaned	review needed
minecraft.packet.stat.minecraft.clean_banner	Banners Cleaned	Banners Cleaned	review needed
minecraft.packet.stat.minecraft.clean_shulker_box	Shulker Boxes Cleaned	Shulker Boxes Cleaned	review needed
minecraft.packet.stat.minecraft.climb_one_cm	Distance Climbed	Distance Climbed	review needed
minecraft.packet.stat.minecraft.crouch_one_cm	Distance Crouched	Distance Crouched	review needed
minecraft.packet.stat.minecraft.damage_absorbed	Damage Absorbed	Damage Absorbed	review needed
minecraft.packet.stat.minecraft.damage_blocked_by_shield	Damage Blocked by Shield	Damage Blocked by Shield	review needed
minecraft.packet.stat.minecraft.damage_dealt	Damage Dealt	Damage Dealt	review needed
minecraft.packet.stat.minecraft.damage_dealt_absorbed	Damage Dealt (Absorbed)	Damage Dealt (Absorbed)	review needed
minecraft.packet.stat.minecraft.damage_dealt_resisted	Damage Dealt (Resisted)	Damage Dealt (Resisted)	review needed
minecraft.packet.stat.minecraft.damage_resisted	Damage Resisted	Damage Resisted	review needed
minecraft.packet.stat.minecraft.damage_taken	Damage Taken	Damage Taken	review needed
minecraft.packet.stat.minecraft.deaths	Number of Deaths	Number of Deaths	review needed
minecraft.packet.stat.minecraft.drop	Items Dropped	Items Dropped	review needed
minecraft.packet.stat.minecraft.eat_cake_slice	Cake Slices Eaten	Cake Slices Eaten	review needed
minecraft.packet.stat.minecraft.enchant_item	Items Enchanted	Items Enchanted	review needed
minecraft.packet.stat.minecraft.fall_one_cm	Distance Fallen	Distance Fallen	review needed
minecraft.packet.stat.minecraft.fill_cauldron	Cauldrons Filled	Cauldrons Filled	review needed
minecraft.packet.stat.minecraft.fish_caught	Fish Caught	Fish Caught	review needed
minecraft.packet.stat.minecraft.fly_one_cm	Distance Flown	Distance Flown	review needed
minecraft.packet.stat.minecraft.horse_one_cm	Distance by Horse	Distance by Horse	review needed
minecraft.packet.stat.minecraft.inspect_dispenser	Dispensers Searched	Dispensers Searched	review needed
minecraft.packet.stat.minecraft.inspect_dropper	Droppers Searched	Droppers Searched	review needed
minecraft.packet.stat.minecraft.inspect_hopper	Hoppers Searched	Hoppers Searched	review needed
minecraft.packet.stat.minecraft.interact_with_anvil	Interactions with Anvil	Interactions with Anvil	review needed
minecraft.packet.stat.minecraft.interact_with_beacon	Interactions with Beacon	Interactions with Beacon	review needed
minecraft.packet.stat.minecraft.interact_with_blast_furnace	Interactions with Blast Furnace	Interactions with Blast Furnace	review needed
minecraft.packet.stat.minecraft.interact_with_brewingstand	Interactions with Brewing Stand	Interactions with Brewing Stand	review needed
minecraft.packet.stat.minecraft.interact_with_campfire	Interactions with Campfire	Interactions with Campfire	review needed
minecraft.packet.stat.minecraft.interact_with_cartography_table	Interactions with Cartography Table	Interactions with Cartography Table	review needed
minecraft.packet.stat.minecraft.interact_with_crafting_table	Interactions with Crafting Table	Interactions with Crafting Table	review needed
minecraft.packet.stat.minecraft.interact_with_furnace	Interactions with Furnace	Interactions with Furnace	review needed
minecraft.packet.stat.minecraft.interact_with_grindstone	Interactions with Grindstone	Interactions with Grindstone	review needed
minecraft.packet.stat.minecraft.interact_with_lectern	Interactions with Lectern	Interactions with Lectern	review needed
minecraft.packet.stat.minecraft.interact_with_loom	Interactions with Loom	Interactions with Loom	review needed
minecraft.packet.stat.minecraft.interact_with_smithing_table	Interactions with Smithing Table	Interactions with Smithing Table	review needed
minecraft.packet.stat.minecraft.interact_with_smoker	Interactions with Smoker	Interactions with Smoker	review needed
minecraft.packet.stat.minecraft.interact_with_stonecutter	Interactions with Stonecutter	Interactions with Stonecutter	review needed
minecraft.packet.stat.minecraft.jump	Jumps	Jumps	review needed
minecraft.packet.stat.minecraft.junk_fished	Junk Fished	Junk Fished	review needed
minecraft.packet.stat.minecraft.leave_game	Games Quit	Games Quit	review needed
minecraft.packet.stat.minecraft.minecart_one_cm	Distance by Minecart	Distance by Minecart	review needed
minecraft.packet.stat.minecraft.mob_kills	Mob Kills	Mob Kills	review needed
minecraft.packet.stat.minecraft.open_barrel	Barrels Opened	Barrels Opened	review needed
minecraft.packet.stat.minecraft.open_chest	Chests Opened	Chests Opened	review needed
minecraft.packet.stat.minecraft.open_enderchest	Ender Chests Opened	Ender Chests Opened	review needed
minecraft.packet.stat.minecraft.open_shulker_box	Shulker Boxes Opened	Shulker Boxes Opened	review needed
minecraft.packet.stat.minecraft.pig_one_cm	Distance by Pig	Distance by Pig	review needed
minecraft.packet.stat.minecraft.play_noteblock	Note Blocks Played	Note Blocks Played	review needed
minecraft.packet.stat.minecraft.play_record	Music Discs Played	Music Discs Played	review needed
minecraft.packet.stat.minecraft.play_time	Time Played	Time Played	review needed
